Image,Signification,SignificationInv
data/images/mineurs/swords/Swords05.jpg,Conflit; tension; perte; défaite; gagner à tout prix; trahison,Etre ouvert au changement; ressentiment passé
data/images/mineurs/swords/Swords06.jpg,Transition douloureuse mais nécessaire; rite de passage,Impossibilité d'aller de l'avant; se trainer des casseroles
data/images/mineurs/swords/Swords07.jpg,Trahison; déception; l'emporter au paradis; vol,Défi mental; se libérer 
data/images/mineurs/swords/Swords08.jpg,Isolation; restriction que l'on s'est soi-même imposée; emprisonnement,Etre ouvert à de nouvelles perspectives; renonciation
data/images/mineurs/swords/Swords09.jpg,Dépression; cauchemars; anxiété intense; désespoir,Absence d'espoir; dépression sévère; tourment
data/images/mineurs/swords/Swords10.jpg,Recevoir un coup de couteau dans le dos; défaite; crise; trahison; fin; perte; drama,Rétablissement; régénération; peur de la ruine; fin inévitable
data/images/mineurs/swords/Swords11.jpg,Bavard; curieux; agitation mentale; énergétique,Des paroles mais pas d'acte; hâte; promesses non tenues
data/images/mineurs/swords/Swords12.jpg,Qui a des opinions définitives; précipité; orienté vers l'action; communicatif,Pensée dissipée; ne fais pas attention aux conséquences
data/images/mineurs/swords/Swords13.jpg,Organisé; perceptif; réfléchit rapidement; indépendant,Sur-émotionnel; méchant; cœur de pierre
data/images/mineurs/swords/Swords14.jpg,Réfléchit clairement; pouvoir intellectuel; autorité; vérité,Manipulatoire; tyrannique; abusif
data/images/mineurs/deniers/Pents01.jpg,Manifestation; nouvelles opportunités financières; prospérité,Opporunité manquée; manque de plannification et d'anticipation
data/images/mineurs/deniers/Pents02.jpg,Balance; adaptabilité; gestion du temps; gestion des priorités,Désorganisation; Désorganisation financière
data/images/mineurs/deniers/Pents03.jpg,Travail d'équipe; collaboration; apprentissage; accomplissement initial,Manque de travail d'équipe; non prise en compte des compétences
data/images/mineurs/deniers/Pents04.jpg,Contrôle; stabilité; sécurité; possession; conservatisme,Convoitise; matérialisme; auto-protection
data/images/mineurs/deniers/Pents05.jpg,Isolation; insécurité; inquiétudes; pertes financières; pauvreté,Rétablissement après des pertes financières; pauvreté spirituelle
data/images/mineurs/deniers/Pents06.jpg,Générosité; charité; dons; prospérité; partage; richesse,Dette; égoïsme; charité à sens unique
data/images/mineurs/deniers/Pents07.jpg,Vision; persévérance; profit; récompense; investissement,Manque de vision à long-terme; succès ou récompense mitigés
data/images/mineurs/deniers/Pents08.jpg,Etre apprenti; éducation; qualité; engagement,Perfectionnisme; manque d'ambition ou de focus
data/images/mineurs/deniers/Pents09.jpg,Gratitude; luxe; auto-suffisance; culmination,Sur-investissement au travail; obstacles financiers
data/images/mineurs/deniers/Pents10.jpg,Richesse; héritage; famille; fondation; retraite,Echec financier; solitude; perte
data/images/mineurs/deniers/Pents11.jpg,Manifestation; opportunités financières; nouveau travail,Manque de progrès et de plannification; focus à court-terme
data/images/mineurs/deniers/Pents12.jpg,Efficacité; routine; conservatisme; méthodique,Paresse; ennui; sentiment d'être bloqué
data/images/mineurs/deniers/Pents13.jpg,Doté de sens pratique; domestique; maternel; terre à terre; sécurité,Manque d'équilibre entre les engagements pros et familiaux
data/images/mineurs/deniers/Pents14.jpg,Sécurité; contrôle; pouvoir; discipline; abondance,Autoritarisme; domination; contrôle
